Tweet,Label
"What have you done Britain?

I no longer feel proud to be British when we vote for poverty and the loss of our NHS.

Like the USA have just voted in a criminal to run this country into the ground

I just feel numb right now, stabbed in the back by my own class

#notmygovernment",0
"I don’t think I’ve ever been so worried about the future of this country as I am today. It’s sad that people cannot see past Brexit to fight for the rights of the poor, the NHS, and for the end of austerity #notmygovernment",0
"Dennis Skinner losing his Bolsover seat seat after almost 50years...now a tory seat. An area destroyed by Thatcher, and now they do this?

After the horrors of #Grenfell they voted a fucking tory in.

I can't even. #NotMyPM #notmygovernment #European",0
fuck the government and fuck boris #notmygovernment,0
I don't want people to die because they can't afford healthcare. I don't want children unable to be educated because schools can't afford to run. I don't want more people to be homeless and using food banks. I don't want our public services falling apart. This is #notmygovernment,0
"Love to all who are hurt and upset today. Know that even when the odds seem very much against you, a gay man defeated Ann Widdecombe.     ?? #LGBTQfamily #LGBT #notmygovernment https://t.co/8UZPYif4Mb",0
"A quick idea for today to help those that need help. https://t.co/83zgAgmjiM Find your local food bank and fill it. Let's show compassion still exists and that no matter what we care for those who some don't care about. 

#notmygovernment",0
"I am SO proud of my fellow Maltese
https://t.co/Hor6EZMyST
#notmygovernment #Malta",0
I don't want people to die because they can't afford healthcare. I don't want children unable to be educated because schools can't afford to run. I don't want more people to be homeless and using food banks. I don't want our public services falling apart. This is #notmygovernment,0
"I see that #notmygovernment is trending.

It actually is your government. Much as you fascists and corbynista bully boys would want otherwise, this is a democracy and you lost.
Like badly.
Really badly.

What is it with Corbyn's kids and the basic rules of our society?",0
"Waking up in a country, that has a PM openly endorsed by Trump, Tommy Robinson, and Katie Hopkins brings new meaning to Friday the 13th. 

The UK deserves everything that coming its way.

#NotMyPrimeMinister #NotMyGovernment",0
"Well for the last yrs of my life I'll just go back to playing my guitar &amp; listening to jazz &amp; the new Tories in the north can get on w/ experiencing what a Tory govt is really like, as we did in the 80s when they destroyed the north. Good fucking luck, turkeys. #notmygovernment",0
"This nation has just shown itself. You put your personal dislike for one man above the needs of thousands of people. I work for public services but have no intention of upholding the ideas these people will surely implement. Get ready for the fight friends

#notmygovernment",0
now you all need to stop pretending it's only the 1% or incredibly rich private school lads who vote Tory and recognise it's your mates and your colleagues and your family. stop distancing yourself from the problem and start TALKING about fucking POLITICS #notmygovernment,0
now you all need to stop pretending it's only the 1% or incredibly rich private school lads who vote Tory and recognise it's your mates and your colleagues and your family. stop distancing yourself from the problem and start TALKING about fucking POLITICS #notmygovernment,0
"@BorisJohnson_MP #notmygovernment?
But if you live in Britain, or Little England, then Johnson is your government regardless of how you voted.
You're stuck with Boris for 5 yrs. If a week's a long time in politics, imagine the damage he'll do in half a decade.
#ChlorinatedChicken anyone?
#GoVegan",0
"all you tory gobshites, this is what you voted for. I hope you’re proud of your heartless self. #ElectionResults2019 #RIPNHS #ByeNHS #notmygovernment https://t.co/dg5uUVX3EM",1
"#notmygovernment fucking repulsed by anyone who thought voting a genuine sociopath into office to work with a psychopath to privatise our NHS. Britain is full of racists, biggots and narcissists who are get a kick and make a meme out of little boys on hospital floors https://t.co/ISUfyBi4D6",0
@RayGeorgesonL Never mind Ray - you can bet they won't be rushing into another any time soon! #notmygovernment,0
"""It’s best to calm refuse to engage. You already know your truth and you don’t need it validated by others"" .@sally_Therapist 
@jellymalin  @VictoriaLIVE 
@TherealNihal  @JeremyVineOn5 @theJeremyVine 
#bbcelection #notmygovernment #OneNation",0
"Despite enduring vile trolling the last 24 hours, I'm never going to give up fighting for what I believe is right. I will not set aside my values. I will not cease campaigning for a better, fairer, sustainable world. My legacy will be that I never gave up hope.
#NotMyGovernment",0
"The clarity of thought of a real leader.
#soarloserssoar
#notmygovernment 
#ClimateEmergency https://t.co/QO2kNMzXnP",0
"The rich will get richer and the poor will get poorer. The number of food banks will go up and families will suffer, homelessness will go up, the NHS is fucked and ultimately people will die. All because people thought about them selves and no one else. #notmygovernment",0
"good to know racism is more important than free healthcare to the brits,, y'all really fucked up on this one #notmygovernment",0
"This nation has just shown itself. You put your personal dislike for one man above the needs of thousands of people. I work for public services but have no intention of upholding the ideas these people will surely implement. Get ready for the fight friends

#notmygovernment",0
"Despite enduring vile trolling the last 24 hours, I'm never going to give up fighting for what I believe is right. I will not set aside my values. I will not cease campaigning for a better, fairer, sustainable world. My legacy will be that I never gave up hope.
#NotMyGovernment",0
it’s NOT Corbyn fault. Corbyn isn’t the problem.  Maybe certain fractions within the Labour Party should have supported him more and stopped backstabbing. If Labours own party can’t be seen support itself....well ??#notmygovernment #GenralElection2019 #CORBYNRESIGN,0
"#notmygovernment trending.
Mostly young student types who can't believe, despite voting twice, they lost.",0
"This is clearly a BREXIT election, not a policy election. 
#NotMyPM #notmygovernment",0
"""For some of them, their standpoint is good as hardwired and they are not ready or open to change. "" @sally_Therapist 
@jellymalin  
@TherealNihal @JeremyVineOn5 @theJeremyVine 
#bbcelection #notmygovernment #OneNation",0
"Love to all who are hurt and upset today. Know that even when the odds seem very much against you, a gay man defeated Ann Widdecombe.     ?? #LGBTQfamily #LGBT #notmygovernment https://t.co/8UZPYif4Mb",0
"They're calling themselves ""The People's Government"". They make me feel sick. 

#notmygovernment",0
"I'm comfort eating today. Likely to be the size of a whale by evening.

#notmygovernment",0
"I see that #notmygovernment is trending.

It actually is your government. Much as you fascists and corbynista bully boys would want otherwise, this is a democracy and you lost.
Like badly.
Really badly.

What is it with Corbyn's kids and the basic rules of our society?",0
"They're calling themselves ""The People's Government"". They make me feel sick. 

#notmygovernment",0
"I'd like to thank the great British public. I'd like to thank them for believing in lies.  For rejecting boring things like truth and facts. For putting self before others. For saying 'Fuck you' to their children. You deserve me. 
#ElectionResults2019 #notmygovernment",0
"good to know racism is more important than free healthcare to the brits,, y'all really fucked up on this one #notmygovernment",0
Think I might just go back to my country #notmygovernment,0
